BAIAP3,COL24A1,DHRS7,ETFDH,FRZB,HBG1,IBSP,POU4F1,PSAT1,RIOK2,TCEAL4,TCF21,TRPA1,VIL1,ZNRF2,label
0.302311217,0.14397419,6.813297976,3.536945748,0.116229199,-6.570271328,-0.461746871,-2.482808486,6.291009476,4.288486772,5.869299869,-3.400346326,-1.284869109,-3.762916406,4.149972931,0
3.513578507,-1.496097805,6.317385124,3.867985937,4.949927551,-0.352506951,0.82583029,-3.462930941,6.049360602,4.786290276,6.651876163,-4.600434465,-4.115007637,-6.922362559,5.555142758,1
0.903964384,1.925312175,5.666187402,3.878755934,1.006292749,-6.832911039,2.319373803,2.518028142,2.783637804,4.734569762,5.817916335,-4.510982944,1.825800301,-5.247948539,4.70382185,0
2.468696013,-0.951827026,6.424453434,4.833690313,4.815306461,-2.071125954,-6.929106949,-4.607178854,2.970249974,4.782129818,6.845988873,-1.314397105,-4.109438766,-5.344144449,5.298809775,1
1.591984008,-1.589770291,5.091208833,3.660023179,2.745107418,-7.520507628,0.722666355,2.673017732,5.434597352,4.452830993,5.537653256,-7.520507628,2.26216303,-2.235105409,3.958767402,0
1.495702093,0.164916732,5.936429952,4.197626489,4.220277204,-4.632096246,1.973753621,-1.462171244,5.217465236,4.39857089,6.559826599,-6.954024341,-1.06649907,-4.146669419,4.565120447,0
1.83471506,0.787468256,5.92956454,4.222342771,2.318685185,-7.101274992,3.338555892,-3.194384397,5.677828747,4.654029896,6.380902719,-3.194384397,-0.493648772,3.263953857,4.24911175,0
2.331257185,-0.696674184,5.251022628,4.038812481,4.977604927,-6.627411521,-5.042449021,-1.417958156,3.222775316,4.606807157,6.32514774,-3.820056599,-2.526433874,-3.45748652,4.775067651,0
2.758255621,-1.0137282,7.010831669,4.697638643,6.409216646,-4.855030454,-6.439992955,-4.855030454,4.123203317,4.789426733,7.417502137,-2.980561336,-4.11806486,-4.855030454,4.791828224,1
-0.490263411,-1.137961667,6.904329092,3.552484082,2.945142576,-4.101435791,-1.294080869,2.618295266,5.250386854,4.550333481,8.117187985,-4.101435791,-1.137961667,-4.101435791,4.057426315,0
-0.125048888,-0.248033642,6.119428592,3.117147651,5.609586815,-6.356558099,3.584489508,-3.549203177,6.10875321,4.583755499,7.084700233,-6.356558099,-0.679613739,-1.312163979,4.757834956,0
-0.011531431,1.192625205,5.394439302,3.926735752,5.260445877,-6.835280791,2.144858786,-2.442963368,7.18873339,4.38932389,5.699751523,-6.835280791,1.200782898,-4.513352696,4.572518059,0
0.841557735,-0.391816698,7.431476476,4.078250952,3.150585341,-5.818081452,3.687730102,0.521768551,-0.773687333,5.095555976,6.530370085,-5.818081452,-0.090160998,-5.818081452,5.159913916,0
4.476056626,-1.984093039,5.906967328,4.820191665,5.222107349,-3.569055539,-4.791447961,-3.20648546,2.361681798,5.05247309,7.622268107,-3.20648546,-6.376410462,-6.376410462,4.262930247,1
4.659711413,0.755187542,6.039231611,5.115130757,4.758767774,-5.276031188,-5.276031188,-2.312557064,2.791134239,5.609512672,6.015715093,-4.790604361,-3.893087319,-6.012996782,5.243015287,1
0.819904599,-0.292089152,5.933954123,5.495872217,5.281728593,0.364541205,-7.086505018,-7.086505018,4.106404201,5.118982802,5.964533944,-1.109225095,-3.175772356,-7.086505018,4.938980638,1
3.249249261,-0.011180921,6.211884243,5.08826503,5.30589415,-4.49230761,-6.077270111,-3.269915189,2.856420544,4.824351047,6.628146288,-0.791867892,-2.376830393,-6.077270111,4.818305171,1
3.849818009,-1.027650727,6.051787272,3.993548439,5.352259594,-6.860540741,-4.053185819,-4.053185819,2.019042509,4.443810581,7.804850698,-2.612613227,-4.538612646,-5.27557824,4.149987365,0
0.334847562,-0.039218156,6.209308691,3.688988803,3.58198545,-6.609073765,-1.399620399,-2.216756342,5.40320158,4.548904685,5.95245286,-5.024111264,-0.133340334,-3.439148763,5.728269383,0
3.324585297,2.462607227,6.24546678,4.147472173,1.004000713,-3.138957241,1.174933535,-6.308882242,6.088525002,3.963747543,6.733290111,-0.6364569,-0.75429339,-4.723919741,5.242345362,1
-1.570172363,-0.595431314,6.580596083,3.640613949,2.134961626,-6.862217855,0.214597742,-2.614290342,7.080205013,4.988359692,6.286417605,-5.277255354,1.418552915,-2.955327259,5.222922607,0
1.019338419,0.655700072,6.427311809,4.622595339,4.546831181,-6.421115525,2.402251715,-4.836153024,4.554015932,4.498492714,6.659535477,-6.421115525,0.846232996,-6.421115525,6.760502644,1
4.34116328,3.22237005,5.72342124,4.411443145,2.052724831,-7.109666498,1.931992653,-2.354778996,5.342317279,4.783255725,6.200236121,-7.109666498,-2.840633352,-4.787738403,5.286135373,0
-2.225855048,0.112854499,5.959794624,2.803446431,1.671405369,-7.086817846,-0.216453126,-1.020728655,7.637109687,4.251361404,4.723352092,-7.086817846,2.219243844,-4.764889751,5.457905152,0
2.540879397,1.643163866,7.259271369,4.587379498,6.250006073,-6.922890173,-5.337927672,-6.922890173,2.810125149,5.339498351,7.239107697,-1.141530459,-3.458221906,-5.337927672,5.27032715,0
3.954479248,1.852338713,6.383233616,4.594340847,1.666301707,-7.194785199,3.715857531,-5.609822699,5.156982245,4.773521595,6.123333891,-4.872857104,-1.076674694,-4.872857104,4.40837748,1
3.526909675,1.893381411,5.713110253,4.268904487,3.504864788,-7.180760052,2.965172094,1.346716954,6.131697518,4.344271293,6.436133344,-2.657198096,-0.636027396,-7.180760052,4.478789945,0
1.727740389,0.070976733,5.211770676,4.310363353,2.00546678,-3.863135331,0.829355634,0.780720858,5.643809749,3.785864162,6.315173826,-6.670490253,-1.541207236,-6.670490253,4.673250665,0
-0.958472335,-0.336755123,4.866252233,3.583950715,0.838119094,-6.936667965,-2.07868697,-2.292811775,6.153940709,4.195831764,4.963066577,-5.351705464,-0.903244964,-3.766742964,4.625097298,0
-0.327973854,1.723184187,5.995400069,4.935440686,5.162955791,-6.931451842,-3.472020223,-6.931451842,7.053411605,4.901042643,6.741083997,-6.931451842,-0.905537143,-6.931451842,5.952146066,1
3.010682415,0.796426699,5.932347453,3.552251321,1.406480181,-7.35839141,2.479236523,-0.198520073,5.84235397,4.012840719,5.639317339,-7.35839141,-0.412128425,-4.188466408,5.607933784,0
0.23735823,-2.14061631,5.139106588,4.316168646,1.138807056,-4.287457699,-0.904988062,3.513442201,7.340401843,4.448702596,6.769083253,-5.50985012,0.024128452,-4.772884526,4.373302266,1
